Metro Center,38.8983,-77.0281,607 13th St. NW,Washington,DC,20005;
Farragut North,38.9032,-77.0398,1001 Connecticut Avenue NW,Washington,DC,20036;
Dupont Circle,38.9095,-77.0436,1525 20th St. NW,Washington,DC,20036;
Woodley Park-Zoo/Adams Morgan,38.925,-77.0527,2700 Connecticut Ave NW,Washington,DC,20008;
Cleveland Park,38.9347,-77.0582,3599 Connecticut Avenue NW,Washington,DC,20008;
Van Ness-UDC,38.9436,-77.0635,4200 Connecticut Avenue NW,Washington,DC,20008;
Tenleytown-AU,38.9478,-77.0796,4501 Wisconsin Avenue NW,Washington,DC,20016;
Friendship Heights,38.9607,-77.086,5337 Wisconsin Avenue NW,Washington,DC,20015;
Bethesda,38.9843,-77.0944,7450 Wisconsin Avenue,Bethesda,MD,20814;
Medical Center,38.9999,-77.0973,8810 Rockville Pike,Bethesda,MD,20814;
Grosvenor-Strathmore,39.0292,-77.1041,10300 Rockville Pike,Bethesda,MD,20852;
White Flint,39.048,-77.1131,5500 Marinelli Road,Rockville,MD,20852;
Twinbrook,39.0624,-77.1211,1600 Chapman Avenue,Rockville,MD,20852;
Rockville,39.0842,-77.1464,251 Hungerford Drive,Rockville,MD,20850;
Shady Grove,39.1198,-77.1649,15903 Somerville Drive,Rockville,MD,20855;
Gallery Pl-Chinatown,38.8983,-77.0219,630 H St. NW,Washington,DC,20001;
Judiciary Square,38.8961,-77.0166,450 F Street NW,Washington,DC,20001;
Union Station,38.8977,-77.0067,701 First St. NE,Washington,DC,20002;
Rhode Island Ave-Brentwood,38.9207,-76.996,919 Rhode Island Avenue NE,Washington,DC,20018;
Brookland-CUA,38.9332,-76.9945,801 Michigan Avenue NE,Washington,DC,20017;
Fort Totten,38.9518,-77.0022,550 Galloway Street NE,Washington,DC,20011;
Takoma,38.9755,-77.0178,327 Cedar Street NW,Washington,DC,20012;
"Silver Spring",38.9938,-77.0313,8400 Colesville Road,Silver Spring,MD,20910;
Forest Glen,39.0154,-77.043,9730 Georgia Avenue,Forest Glen,MD,20910;
Wheaton,39.0386,-77.0511,11171 Georgia Avenue,Silver Spring,MD,20902;
Glenmont,39.0617,-77.0534,12501 Georgia Avenue,Silver Spring,MD,20906;
NoMa-Gallaudet U,38.9074,-77.003,200 Florida Ave N.E.,Washington,DC,20002;
Metro Center,38.8983,-77.0281,607 13th St. NW,Washington,DC,20005;
McPherson Square,38.9013,-77.0337,1400 I St. NW,Washington,DC,20005;
Farragut West,38.9013,-77.0398,900 18th St. NW,Washington,DC,20006;
